brand,bike_name,displacement_cc,price,power_bhp,weight_kg,mileage,top_speed,star_rating
Ducati,Ducati Hypermotard 698 Mono,659,1650000,76.43,241,20,241.2787879,3
BMW,BMW R 12,1170,1990000,93.7,191,17,244.4545455,5
Ducati,Ducati Scrambler Full Throttle,803,1200000,71.87,185,20,247.630303,4.7
Kawasaki,Kawasaki KX65,64,312000,121,60,63,250.8060606,4.7
Ducati,Ducati Multistrada V4 RS,1103,3840000,180,260,17,253.9818182,4.7
BMW,BMW F900XR,895,1255000,103.25,219,24,257.1575758,4.7
Aprilia,Aprilia Tuono 660,659,1744000,93.87,183,20,260.3333333,4.7
Aprilia,Aprilia Tuareg 660,659,1885000,79.12,204,20,263.5090909,4.7
Moto,Moto Guzzi V85 TT,853,1540000,75.09,230,20,266.6848485,4.7
BMW,BMW S 1000 XR,999,2250000,167.62,227,20,269.8606061,4.7
Kawasaki,Kawasaki KLX 140R F,144,411000,111.1,99,40,273.0363636,4.7
Kawasaki,Kawasaki KLX110R L,112,312000,121,76,63,276.2121212,5
BMW,BMW R 1250 RT,1254,2495000,134.1,279,21,279.3878788,5
Ducati,Ducati Multistrada V2,937,1635700,111.3,222,20,282.5636364,5
Kawasaki,Kawasaki KLX 300R,292,560000,28.6,128,31,285.7393939,5
Kawasaki,Kawasaki KLX450R,449,899000,25,126,31,288.9151515,4.5
Kawasaki,Kawasaki KX250,249,799000,23,108,40,292.0909091,4.7
Kawasaki,Kawasaki KX112,112,487800,21,77,63,295.2666667,4.5
Kawasaki,Kawasaki KX450,449,859000,19,110,31,146,5
Kawasaki,Kawasaki KX 85,84,420000,17,75,63,93,5
Bajaj,Bajaj Pulsar N125,124.58,94707,11.83,125,63,93,4.6
Honda,Honda CB300F Flex-Fuel,293.52,170000,24.54,153,31,146,4.7
